tag,method,topology,scheme,nodes,cycles,gossip_k,lambda_reg,seed,node,n_local,test_acc,hinge_loss,duality_gap,consensus_err,comm_bytes
covtype,cocoa,ring,dirichlet_1.0,10,100,1,0.01,42,1,2902,0.5159,0.28143246931779425,0.05092019368188941,0.577985174783843,21600
covtype,cocoa,ring,dirichlet_1.0,10,100,1,0.01,42,2,4488,0.5159,0.6321421338094474,0.26427725334169205,0.577985174783843,21600
covtype,cocoa,ring,dirichlet_1.0,10,100,1,0.01,42,3,793,0.4841,0.3990492856062973,-0.26223264661618567,0.577985174783843,21600
covtype,cocoa,ring,dirichlet_1.0,10,100,1,0.01,42,4,1582,0.4841,0.4626464870489506,0.061359705672991094,0.577985174783843,21600
covtype,cocoa,ring,dirichlet_1.0,10,100,1,0.01,42,5,3208,0.4841,0.3314308807967867,0.095358944730243,0.577985174783843,21600
covtype,cocoa,ring,dirichlet_1.0,10,100,1,0.01,42,6,6003,0.4841,0.6900402334116349,0.36069348290080777,0.577985174783843,21600
covtype,cocoa,ring,dirichlet_1.0,10,100,1,0.01,42,7,6151,0.5159,0.2783381699635286,0.13083590905871292,0.577985174783843,21600
covtype,cocoa,ring,dirichlet_1.0,10,100,1,0.01,42,8,3352,0.5159,0.1410575732237742,0.048131260069294704,0.577985174783843,21600
covtype,cocoa,ring,dirichlet_1.0,10,100,1,0.01,42,9,7195,0.4841,0.6590303745950109,0.4000106645317328,0.577985174783843,21600
covtype,cocoa,ring,dirichlet_0.3,10,100,1,0.01,42,0,746,0.5159,0.03350082725898853,-0.44341311388679233,0.570155426017559,21600
covtype,cocoa,ring,dirichlet_0.3,10,100,1,0.01,42,1,3023,0.4841,0.2503432049083137,0.018436887476900782,0.570155426017559,21600
covtype,cocoa,ring,dirichlet_0.3,10,100,1,0.01,42,2,6249,0.4841,0.004815012627868867,-0.025781294204678555,0.570155426017559,21600
covtype,cocoa,ring,dirichlet_0.3,10,100,1,0.01,42,3,1084,0.5159,0.7199458440856242,-0.21216891372438074,0.570155426017559,21600
covtype,cocoa,ring,dirichlet_0.3,10,100,1,0.01,42,4,4177,0.4841,0.32554575784566375,0.07607037804182121,0.570155426017559,21600
covtype,cocoa,ring,dirichlet_0.3,10,100,1,0.01,42,5,301,0.4841,1.0214232644420316,0.022557558988394733,0.570155426017559,21600
covtype,cocoa,ring,dirichlet_0.3,10,100,1,0.01,42,6,10200,0.5159,0.0033063124548636776,-0.007013385632563019,0.570155426017559,21600
covtype,cocoa,ring,dirichlet_0.3,10,100,1,0.01,42,7,4364,0.5159,0.09457973314951364,0.019830702195473116,0.570155426017559,21600
covtype,cocoa,ring,dirichlet_0.3,10,100,1,0.01,42,8,3745,0.4878,0.6795589222014462,0.2503390299442472,0.570155426017559,21600
covtype,cocoa,ring,dirichlet_0.3,10,100,1,0.01,42,9,6111,0.4858,0.6658481197454188,0.3396752440891915,0.570155426017559,21600
covtype,cocoa,ring,dirichlet_0.1,10,100,1,0.01,42,0,111,0.5675,0.9207107053924417,-0.07788273178798322,0.550543779801004,21600
covtype,cocoa,ring,dirichlet_0.1,10,100,1,0.01,42,1,2160,0.4841,0.01700947371781398,-0.08462552855400785,0.550543779801004,21600
covtype,cocoa,ring,dirichlet_0.1,10,100,1,0.01,42,2,11171,0.4841,0.00028795321872839333,-0.005650318185204022,0.550543779801004,21600
covtype,cocoa,ring,dirichlet_0.1,10,100,1,0.01,42,3,110,0.4841,1.609552064912443,0.6113390278823132,0.550543779801004,21600
covtype,cocoa,ring,dirichlet_0.1,10,100,1,0.01,42,4,4214,0.4841,0.04230842925196505,-0.028423519917376523,0.550543779801004,21600
covtype,cocoa,ring,dirichlet_0.1,10,100,1,0.01,42,5,1,0.4841,1.7394354255588427,0.7403215684989675,0.550543779801004,21600
covtype,cocoa,ring,dirichlet_0.1,10,100,1,0.01,42,6,302,0.5159,0.01389142255005624,-0.2797302315497935,0.550543779801004,21600
covtype,cocoa,ring,dirichlet_0.1,10,100,1,0.01,42,7,16592,0.5159,0.00018477398455820675,-0.0003006361776269734,0.550543779801004,21600
covtype,cocoa,ring,dirichlet_0.1,10,100,1,0.01,42,8,1060,0.5159,0.7230786123069888,-0.08125869196388158,0.550543779801004,21600
covtype,cocoa,ring,dirichlet_0.1,10,100,1,0.01,42,9,4279,0.5159,0.7405960205829485,0.3188085656848601,0.550543779801004,21600
covtype,cocoa,ring,label_skew,10,100,1,0.01,42,0,4109,0.5604,0.5434475613952281,0.4343894457998295,0.22879375135768645,21600
covtype,cocoa,ring,label_skew,10,100,1,0.01,42,1,3892,0.6845,0.809048039454541,0.7017655975529853,0.22879375135768645,21600
covtype,cocoa,ring,label_skew,10,100,1,0.01,42,2,4109,0.6291,0.7506837753500502,0.692130164729801,0.22879375135768645,21600
covtype,cocoa,ring,label_skew,10,100,1,0.01,42,3,3892,0.626,0.8770812008441209,0.7872734668459861,0.22879375135768645,21600
covtype,cocoa,ring,label_skew,10,100,1,0.01,42,4,4108,0.6199,1.0600433709599377,0.9816064825113127,0.22879375135768645,21600
covtype,cocoa,ring,label_skew,10,100,1,0.01,42,5,3892,0.626,0.8212269252055945,0.7454340927416682,0.22879375135768645,21600
covtype,cocoa,ring,label_skew,10,100,1,0.01,42,6,4108,0.5975,0.9607315951983031,0.9101267025457123,0.22879375135768645,21600
covtype,cocoa,ring,label_skew,10,100,1,0.01,42,7,3891,0.6273,0.965548903908009,0.89242417403069,0.22879375135768645,21600
covtype,cocoa,ring,label_skew,10,100,1,0.01,42,8,4108,0.6304,0.7154541736865723,0.6399946041238687,0.22879375135768645,21600
